pair,entry_date,exit_date,direction,entry_z,exit_z,holding_days,pnl_pct,exit_reason
DHI/LEN,2024-03-14,2024-03-20,-1,4.708582597658835,-0.24727558489280288,6,0.005037812691159554,mean_reversion
DHI/LEN,2024-05-10,2024-05-13,1,-2.0977565571413828,-3.069498906531291,3,-0.00949753791704959,mean_reversion
DHI/LEN,2024-05-22,2024-05-28,-1,2.0200848809136556,0.1050955463703144,6,0.0010555935092238723,mean_reversion
DHI/LEN,2024-06-18,2024-06-25,-1,2.357125184449784,-0.516859998840669,7,-0.00435055505491167,mean_reversion
DHI/LEN,2024-07-18,2024-07-23,-1,4.639379435278921,0.23458600655124853,5,-0.0035795966814579122,mean_reversion
DHI/LEN,2024-09-17,2024-09-20,1,-2.4258057316548864,3.3930528416045944,3,0.00782406655792333,mean_reversion
DHI/LEN,2024-10-29,2024-10-31,1,-4.0072498951461295,-0.42375545042448687,2,0.002300513968162661,mean_reversion
DHI/LEN,2024-12-19,2024-12-20,-1,3.1438349195641564,3.509202379694012,1,-0.01184035611844568,stop_loss
DHI/LEN,2024-12-23,2024-12-27,-1,2.233196562918098,0.4872272599130116,4,-0.005636692304709772,mean_reversion
DHI/LEN,2025-01-28,2025-01-29,1,-2.066524644005588,-0.39653836976817247,1,0.0032456362128696877,mean_reversion
DHI/LEN,2025-02-06,2025-02-14,1,-2.066522902855501,0.27698395607462817,8,-0.007652801919721343,mean_reversion
DHI/LEN,2025-03-11,2025-03-13,-1,2.42579445376403,-0.1059163116297498,2,0.004679956452596349,mean_reversion
DHI/LEN,2025-03-21,2025-03-25,-1,2.7444712513369605,-0.319761397535042,4,0.006125353266737092,mean_reversion
DHI/LEN,2025-04-04,2025-04-07,-1,2.7190850319278956,-0.56777882819759,3,0.008319155342800505,mean_reversion
DHI/LEN,2025-06-13,2025-06-18,-1,2.182299090590324,3.4164385418860403,5,-0.018835938608061993,mean_reversion
DHI/LEN,2025-07-22,2025-07-25,-1,4.649388321389939,-0.4778308999820228,3,0.012241569887631719,mean_reversion
DHI/LEN,2025-09-19,2025-09-22,-1,3.2708402039572806,3.091802620980138,3,-0.010825161677479121,stop_loss
DHI/LEN,2025-10-07,2025-10-21,1,-2.260104326037038,0.10463230464788097,14,-0.0362200218102152,mean_reversion
DHI/LEN,2025-11-17,2025-11-20,-1,2.3284602966277896,0.08275545466080732,3,0.00893452484650421,mean_reversion
DHI/LEN,2025-12-03,2025-12-08,-1,2.109327234795124,0.30988718832987694,5,-0.010249875658265142,mean_reversion
DHI/LEN,2025-12-18,2025-12-19,-1,2.534842138622748,-0.018322600464107195,1,0.010652753850932162,mean_reversion
DHI/LEN,2026-01-06,2026-01-15,1,-2.5602851625454788,-0.4315409307795524,9,-0.019106409982932258,mean_reversion
DHI/LEN,2026-02-19,2026-02-24,-1,2.0807102945617837,0.1315720000203019,5,-0.0013315577833091859,mean_reversion
DHI/LEN,2026-03-09,2026-03-13,-1,2.0739147308318002,-0.4413939189812297,4,-0.0018481221717157326,mean_reversion
DHI/LEN,2026-03-30,2026-04-06,-1,2.5179522536288506,0.2777289939746532,7,-0.015242454701605308,mean_reversion
